"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202602","3호선","불광","23","1","7456","1047","14550","4823","38481","8971","49607","24833","31031","22886","23961","22320","22999","22467","24680","24050","24503","27415","25329","26675","27051","29532","27591","31979","26195","35595","25929","49787","15660","37715","12353","24366","9634","21395","6274","18074","2814","10917","517","3195","0","0","0","0","0","0","20260303"
"202602","3호선","수서","140","2","3842","1980","10878","13121","30089","27494","37822","46490","26802","30108","33156","21935","25338","19423","31139","23810","29357","21032","22342","22430","31440","26003","31815","28892","42297","34899","43725","45525","22041","34497","20530","23878","14239","19962","13913","18086","6150","7387","790","2696","0","189","0","0","0","0","20260303"
"202602","3호선","신사","25","5","2574","1402","5065","13547","9087","34786","14280","86654","13805","115374","16888","57646","21969","42007","26223","38181","31428","41875","37354","37429","44310","34332","51777","36208","72219","43613","101385","50429","73286","27413","48677","14427","46763","11438","36581","8936","15322","5716","2195","2334","0","16","0","0","0","0","20260303"
"202602","3호선","안국","11","1","1372","1757","2194","19092","4803","66219","8823","98007","11267","70462","14772","59689","22301","63468","32321","57163","38950","56260","47114","51173","61013","39514","76364","34021","104697","26015","105809","21644","50259","10799","37414","6232","29934","5690","15728","4473","4673","2527","450","720","0","2","0","0","0","0","20260303"
"202602","3호선","압구정","50","2","2731","2047","6933","20342","12950","38838","19607","114225","17716","125733","23330","70548","28840","59178","36011","48688","39968","50602","50290","46424","57723","43455","65333","42269","83393","49842","108883","49297","78938","28147","64521","14637","43570","11911","27810","9408","9010","4822","1315","1537","3","195","0","0","0","0","20260303"
"202602","3호선","약수","45","2","5080","843","8147","4590","19589","9261","29947","25305","21964","19106","16807","14641","16154","14535","18102","14785","18536","15561","18630","16971","18681","18161","19763","21730","23522","26326","26631","34956","17066","23451","14069","15804","12840","13444","9570","12215","4589","7026","754","2488","3","372","0","0","0","0","20260303"
"202602","3호선","양재(서초구청)","32","1","3818","2528","11713","32382","29679","89168","39070","185596","28161","99518","27577","48358","30647","40873","35642","38528","39755","43475","44777","37819","52923","37089","63957","41819","108863","56310","154856","64268","74601","42642","54705","27325","49331","23716","31827","20200","10421","10049","1230","2893","0","3","0","0","0","0","20260303"
"202602","3호선","연신내","303","5","20176","2107","39298","12011","94923","20233","120918","38358","74121","35336","55553","33721","53413","36703","57585","39860","55578","43549","51620","47661","51116","57488","54267","65620","53387","79644","52992","114531","36484","94675","29057","60195","25656","53103","21406","44099","11157","28822","1890","9161","7","4","0","0","0","0","20260303"
"202602","3호선","오금","13","0","3762","4","7326","2515","23669","4623","25853","11183","13855","5643","8664","4613","7535","4398","8645","5312","7799","5760","6781","6027","6272","7921","7578","8935","9368","13043","10393","19072","4124","13695","3293","9222","2727","8016","2260","9017","618","4799","107","1862","0","0","0","0","0","0","20260303"
"202602","3호선","옥수","115","2","2384","739","7007","3298","17536","5734","26096","11415","19255","9298","13874","7960","13404","9405","13583","11070","13567","11978","13243","13052","13380","15130","14282","17149","15302","23070","14860","28758","10214","21033","7835","14552","7007","12765","4898","11828","1838","5242","335","1481","0","0","0","0","0","0","20260303"
